เพศ,ช่วงอายุ/ช่วงวัย,เทศกาล/โอกาสสำคัญ,ความสัมพันธ์,ราคา,คลาสของขวัญ,,,
1,11,14,39,45,รองเท้าผู้หญิง,,,
1,11,20,26,45,รองเท้าผู้หญิง,,,
1,11,20,26.02,45,รองเท้าผู้หญิง,,,
1,11,20,26.03,45,รองเท้าผู้หญิง,,,
1,11,23,26,45,รองเท้าผู้หญิง,,,
1,11,23,26.02,45,รองเท้าผู้หญิง,,,
1,11,23,26.03,45,รองเท้าผู้หญิง,,,
1,12,13,34.19,45,รองเท้าผู้หญิง,,,
1,12,13,34.2,45,รองเท้าผู้หญิง,,,
1,12,13,34.21,45,รองเท้าผู้หญิง,,,
1,12,24,34.19,45,รองเท้าผู้หญิง,,,
1,12,24,34.2,45,รองเท้าผู้หญิง,,,
1,12,24,34.21,45,รองเท้าผู้หญิง,,,
1,12,22,34.19,45,รองเท้าผู้หญิง,,,
1,12,22,34.2,45,รองเท้าผู้หญิง,,,
1,12,22,34.21,45,รองเท้าผู้หญิง,,,
1,12,22,36.05,45,รองเท้าผู้หญิง,,,
1,12,22,36.06,45,รองเท้าผู้หญิง,,,
1,12,22,36.08,45,รองเท้าผู้หญิง,,,
